epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2571,0.99544,2.39311,1.54298,0.98822,0.93333,0.98543,0.95266,0.44166,19.1978,0.6884,0.00014,0.00014,0.00014
2,103.745,0.37342,0.97858,1.11523,0.98801,1,0.995,0.95168,0.36002,3.76389,0.59608,0.00029406,0.00029406,0.00029406
3,154.584,0.29542,0.64612,1.0314,0.99754,1,0.995,0.97702,0.36695,1.46467,0.64016,0.000441784,0.000441784,0.000441784
4,205.454,0.28538,0.60213,1.00899,0.9328,0.92559,0.94902,0.68996,0.90723,1.65819,1.01949,0.000583172,0.000583172,0.000583172
5,254.276,0.32502,0.59119,1.00378,0.3782,0.76667,0.36715,0.18802,1.72623,2.57746,2.79397,0.000718224,0.000718224,0.000718224
6,303.977,0.32032,0.5934,1.05235,0.88972,1,0.995,0.82154,0.60898,4.81583,0.99293,0.00084694,0.00084694,0.00084694
7,351.943,0.30463,0.55238,1.01217,0.69253,0.9,0.87278,0.60188,1.25787,3.32022,1.72835,0.00096932,0.00096932,0.00096932
8,400.367,0.32417,0.47813,1.0475,0.59548,0.96667,0.97833,0.6374,0.97782,2.99358,1.22779,0.00108536,0.00108536,0.00108536
9,448.841,0.32581,0.44939,1.0427,0.80928,0.93333,0.91814,0.53285,1.09224,1.11816,1.2504,0.00119507,0.00119507,0.00119507
10,497.727,0.34337,0.44514,1.02844,0.76987,0.9,0.79373,0.16859,2.85701,1.99669,3.08563,0.00129844,0.00129844,0.00129844
11,547.187,0.3307,0.4494,1.03542,0.61681,0.36667,0.36759,0.06661,2.97626,2.0421,2.96634,0.00139548,0.00139548,0.00139548
12,596.281,0.30256,0.40008,1.02409,0.08908,0.33333,0.08139,0.04286,3.42046,3.06381,3.28268,0.00148618,0.00148618,0.00148618
13,645.668,0.30067,0.42226,1.00412,0.60329,0.56667,0.55571,0.17482,2.55394,2.06342,2.54779,0.0015248,0.0015248,0.0015248
14,693.843,0.36972,0.44929,1.08098,0.61987,0.7,0.63342,0.25385,2.04845,1.77539,2.19413,0.0014852,0.0014852,0.0014852
15,742.201,0.33484,0.43328,1.04123,0.84178,0.93333,0.89293,0.5911,1.28213,1.2657,1.61849,0.0014456,0.0014456,0.0014456
16,790.844,0.32377,0.37779,1.05499,0.63574,0.83333,0.7142,0.44976,0.87504,1.61151,1.20057,0.001406,0.001406,0.001406
17,840.19,0.29633,0.36804,1.01204,0.82021,0.83333,0.90982,0.79317,0.57544,1.01948,0.73971,0.0013664,0.0013664,0.0013664
18,889.541,0.28171,0.3696,0.99643,0.88775,0.79109,0.82751,0.44368,1.43775,1.40031,1.41178,0.0013268,0.0013268,0.0013268
19,938.819,0.29307,0.37675,0.99723,0.83834,0.7,0.84727,0.64435,1.00912,1.20687,1.30748,0.0012872,0.0012872,0.0012872
20,987.983,0.25285,0.34411,0.9865,0.92937,0.87749,0.95306,0.88092,0.46753,0.98916,0.68532,0.0012476,0.0012476,0.0012476
21,1037.27,0.25882,0.32939,1.0003,0.79317,0.76697,0.86492,0.59456,1.20162,1.93338,1.62628,0.001208,0.001208,0.001208
22,1086.42,0.24075,0.34017,0.9487,0.79944,0.93333,0.93555,0.70442,0.98894,1.03737,1.12572,0.0011684,0.0011684,0.0011684
23,1135.63,0.24677,0.34831,0.99236,0.77538,0.93333,0.95951,0.90628,0.44117,1.24706,0.59534,0.0011288,0.0011288,0.0011288
24,1184.67,0.23112,0.33115,0.9533,0.96925,1,0.995,0.9053,0.54369,1.29223,0.6264,0.0010892,0.0010892,0.0010892
25,1233.93,0.2627,0.38869,0.99571,0.95922,1,0.99403,0.52686,1.61032,1.56795,1.91778,0.0010496,0.0010496,0.0010496
26,1283.1,0.23106,0.33605,0.97338,0.96208,1,0.96919,0.74356,0.73319,1.33792,0.90261,0.00101,0.00101,0.00101
27,1332.16,0.21714,0.29372,0.9553,0.93266,1,0.98642,0.87183,0.41448,0.76709,0.63716,0.0009704,0.0009704,0.0009704
28,1381.28,0.2177,0.28806,0.96683,0.99588,1,0.995,0.90239,0.48143,0.55327,0.74941,0.0009308,0.0009308,0.0009308
29,1430.55,0.22564,0.30758,0.96733,0.9876,1,0.995,0.9161,0.50512,0.54695,0.76325,0.0008912,0.0008912,0.0008912
30,1479.67,0.20807,0.31067,0.93842,0.99799,1,0.995,0.98655,0.23903,0.31708,0.44957,0.0008516,0.0008516,0.0008516
31,1530.72,0.19796,0.26924,0.96425,0.99835,1,0.995,0.995,0.18008,0.36606,0.31548,0.000812,0.000812,0.000812
32,1581.96,0.19159,0.26791,0.93967,0.99834,1,0.995,0.995,0.19962,0.28717,0.29239,0.0007724,0.0007724,0.0007724
33,1633.06,0.19848,0.27529,0.97246,0.99831,1,0.995,0.995,0.14937,0.23924,0.22056,0.0007328,0.0007328,0.0007328
34,1685.12,0.16754,0.27529,0.93727,0.99826,1,0.995,0.98649,0.20943,0.28807,0.28835,0.0006932,0.0006932,0.0006932
35,1734.14,0.16071,0.25165,0.92625,0.99698,1,0.995,0.995,0.21043,0.30704,0.29839,0.0006536,0.0006536,0.0006536
36,1784.76,0.1808,0.25033,0.93667,0.99718,1,0.995,0.995,0.20486,0.3457,0.30749,0.000614,0.000614,0.000614
37,1834.67,0.15525,0.25887,0.95055,0.99763,1,0.995,0.995,0.18561,0.27348,0.28727,0.0005744,0.0005744,0.0005744
38,1884.43,0.16104,0.25522,0.94715,0.99817,1,0.995,0.995,0.19619,0.26087,0.30383,0.0005348,0.0005348,0.0005348
39,1934.65,0.15355,0.22392,0.93396,0.99827,1,0.995,0.995,0.21291,0.30791,0.33141,0.0004952,0.0004952,0.0004952
40,1984.68,0.15037,0.26483,0.92206,0.99835,1,0.995,0.995,0.21573,0.28812,0.33143,0.0004556,0.0004556,0.0004556
41,2034.95,0.17561,0.79062,1.02191,0.99834,1,0.995,0.995,0.19691,0.35449,0.30198,0.000416,0.000416,0.000416
42,2085.26,0.10972,0.26431,0.96175,0.99836,1,0.995,0.995,0.18022,0.39884,0.28001,0.0003764,0.0003764,0.0003764
43,2135.53,0.12944,0.22206,1.01735,0.99835,1,0.995,0.995,0.17829,0.49571,0.27327,0.0003368,0.0003368,0.0003368
44,2186.39,0.0993,0.15999,0.94102,0.99835,1,0.995,0.995,0.17026,0.72317,0.26386,0.0002972,0.0002972,0.0002972
45,2237.14,0.12639,0.16768,0.96928,0.99834,1,0.995,0.995,0.17224,0.7567,0.26056,0.0002576,0.0002576,0.0002576
46,2287.37,0.08943,0.13052,0.94622,0.99835,1,0.995,0.995,0.13625,0.56889,0.23429,0.000218,0.000218,0.000218
47,2337.64,0.08268,0.12642,0.92776,0.99833,1,0.995,0.995,0.12697,0.43934,0.22893,0.0001784,0.0001784,0.0001784
48,2387.68,0.089,0.12989,0.96216,0.99832,1,0.995,0.995,0.1339,0.33849,0.2366,0.0001388,0.0001388,0.0001388
49,2437.87,0.06828,0.11675,0.92397,0.99831,1,0.995,0.995,0.14843,0.32684,0.25238,9.92e-05,9.92e-05,9.92e-05
50,2488.28,0.088,0.12077,0.94386,0.99834,1,0.995,0.995,0.1486,0.33527,0.24942,5.96e-05,5.96e-05,5.96e-05
